"id","type","from","to","eventrel","value","properties","project_id"
"0d0446855b60c7dd352d511a8f60dc01",供应链关系,"0_347099_2e0ea7_12b5a5","0_347099_6413ac_1bc109",生产,生产,"{""source"": ""LLM\u62bd\u53d6"", ""extraction_method"": ""general"", ""context"": ""\u60e0\u5dde\u4ebf\u7eac\u9502\u80fd\u80a1\u4efd\u6709\u9650\u516c\u53f8\u4f5c\u4e3a\u751f\u4ea7\u5546\uff0c\u5176\u4ea7\u54c1\u5305\u62ec\u6d88\u8d39\u7535\u6c60\uff0c\u8fd9\u8868\u660e\u516c\u53f8\u4e0e\u6d88\u8d39\u7535\u6c60\u4e4b\u95f4\u5b58\u5728\u4f9b\u5e94\u94fe\u5173\u7cfb\u3002""}","83346840"
b27dd5f6bba1384d617430a1868b943e,供应链关系,"0_347099_2e0ea7_12b5a5","0_347099_9a7673_811684",生产,生产,"{""source"": ""LLM\u62bd\u53d6"", ""extraction_method"": ""general"", ""context"": ""\u60e0\u5dde\u4ebf\u7eac\u9502\u80fd\u80a1\u4efd\u6709\u9650\u516c\u53f8\u8fd8\u751f\u4ea7\u52a8\u529b\u50a8\u80fd\u7535\u6c60\uff0c\u8fd9\u8868\u660e\u516c\u53f8\u4e0e\u52a8\u529b\u50a8\u80fd\u7535\u6c60\u4ea7\u54c1\u4e4b\u95f4\u4e5f\u5b58\u5728\u4f9b\u5e94\u94fe\u5173\u7cfb\u3002""}","83346840"
"850511c45353d15a3c2e2ce4aff8968d",股权关系,"0_347099_2e0ea7_12b5a5","0_347099_aec9e8_7f47c1",参股,参股,"{""source"": ""LLM\u62bd\u53d6"", ""extraction_method"": ""general"", ""context"": ""\u60e0\u5dde\u4ebf\u7eac\u9502\u80fd\u80a1\u4efd\u6709\u9650\u516c\u53f8\u95f4\u63a5\u53c2\u80a1\u601d\u6469\u5c14\u56fd\u9645\u63a7\u80a1\u6709\u9650\u516c\u53f8\uff0c\u8fd9\u8868\u660e\u4e24\u8005\u4e4b\u95f4\u5b58\u5728\u80a1\u6743\u5173\u7cfb\u3002""}","83346840"
f40de9d2f192fd3d4eaeac63912227b9,因果关系,"1_347099_bcf89b_8d4f42","1_347099_34e980_c590ef",导致,导致,"{""source"": ""LLM\u62bd\u53d6"", ""extraction_method"": ""general"", ""context"": ""\u516c\u53f8\u9500\u552e\u89c4\u6a21\u6269\u5927\u5bfc\u81f4\u8425\u4e1a\u6536\u5165\u589e\u957f100%\u4ee5\u4e0a\uff0c\u8fd9\u8868\u660e\u9500\u552e\u589e\u957f\u4e0e\u6536\u5165\u589e\u957f\u4e4b\u95f4\u5b58\u5728\u56e0\u679c\u5173\u7cfb\u3002""}","83346840"
a588e806c5e496e1804083f5b6b0a9f0,因果关系,"0_347099_aec9e8_7f47c1","1_347099_aec9e8_ac74c2",带来,带来,"{""source"": ""LLM\u62bd\u53d6"", ""extraction_method"": ""general"", ""context"": ""\u601d\u6469\u5c14\u56fd\u9645\u63a7\u80a1\u6709\u9650\u516c\u53f8\u9500\u552e\u89c4\u6a21\u548c\u76c8\u5229\u5927\u5e45\u589e\u957f\u5e26\u6765\u516c\u53f8\u6295\u8d44\u6536\u76ca\u5927\u5e45\u589e\u957f\uff0c\u8fd9\u8868\u660e\u53c2\u80a1\u516c\u53f8\u7684\u4e1a\u7ee9\u4e0e\u6295\u8d44\u6536\u76ca\u589e\u957f\u4e4b\u95f4\u5b58\u5728\u56e0\u679c\u5173\u7cfb\u3002""}","83346840"
"03ab5ad3ae49cd76756f796ee42322f0",因果关系,"0_347099_2e0ea7_12b5a5","1_347099_ec069c_9ca4b6",加大,加大,"{""source"": ""LLM\u62bd\u53d6"", ""extraction_method"": ""general"", ""context"": ""\u516c\u53f8\u6301\u7eed\u52a0\u5927\u7814\u53d1\u6295\u5165\u529b\u5ea6\uff0c\u5f53\u5e74\u7814\u53d1\u652f\u51fa\u8d39\u7528\u5316\u91d1\u989d\u7ea613\u4ebf\u5143\uff0c\u540c\u6bd4\u589e\u52a090%\u4ee5\u4e0a\uff0c\u8fd9\u8868\u660e\u516c\u53f8\u4e0e\u7814\u53d1\u652f\u51fa\u4e4b\u95f4\u5b58\u5728\u56e0\u679c\u5173\u7cfb\u3002""}","83346840"
e2a700ce297257d6933bff4138bd0af1,因果关系,"0_347099_2e0ea7_12b5a5","1_347099_168d12_bb589c",计提,计提,"{""source"": ""LLM\u62bd\u53d6"", ""extraction_method"": ""general"", ""context"": ""\u4e3a\u4e86\u8fdb\u4e00\u6b65\u5065\u5168\u516c\u53f8\u957f\u6548\u6fc0\u52b1\u673a\u5236\uff0c\u5438\u5f15\u548c\u7559\u4f4f\u4f18\u79c0\u4eba\u624d\uff0c\u5236\u5b9a\u6fc0\u52b1\u8ba1\u5212\uff0c\u8ba1\u63d0\u80a1\u6743\u6fc0\u52b1\u8d39\u7528\u7ea60.79\u4ebf\u5143\uff0c\u8fd9\u8868\u660e\u516c\u53f8\u4e0e\u80a1\u6743\u6fc0\u52b1\u4e4b\u95f4\u5b58\u5728\u56e0\u679c\u5173\u7cfb\u3002""}","83346840"
"5d0a20237c4ab56f1ce7bbe627e6aaa9",因果关系,"1_347099_34e980_c590ef","1_347099_117b88_b29411",影响,影响,"{""source"": ""LLM\u62bd\u53d6"", ""extraction_method"": ""general"", ""context"": ""\u8425\u4e1a\u6536\u5165\u589e\u957f100%\u4ee5\u4e0a\u662f2021\u5e74\u5e74\u5ea6\u4e1a\u7ee9\u4e0e\u4e0a\u5e74\u540c\u671f\u76f8\u6bd4\u4e0a\u5347\u7684\u4e3b\u8981\u539f\u56e0\u4e4b\u4e00\uff0c\u8fd9\u8868\u660e\u6536\u5165\u589e\u957f\u5bf9\u5e74\u5ea6\u4e1a\u7ee9\u9884\u544a\u6709\u76f4\u63a5\u5f71\u54cd\u3002""}","83346840"
"9208aa31bb4f91d8018d3f74fa985c79",因果关系,"1_347099_aec9e8_ac74c2","1_347099_117b88_b29411",影响,影响,"{""source"": ""LLM\u62bd\u53d6"", ""extraction_method"": ""general"", ""context"": ""\u601d\u6469\u5c14\u56fd\u9645\u63a7\u80a1\u6709\u9650\u516c\u53f8\u9500\u552e\u89c4\u6a21\u548c\u76c8\u5229\u5927\u5e45\u589e\u957f\uff0c\u5e26\u6765\u516c\u53f8\u6295\u8d44\u6536\u76ca\u5927\u5e45\u589e\u957f\uff0c\u662f2021\u5e74\u5e74\u5ea6\u4e1a\u7ee9\u4e0e\u4e0a\u5e74\u540c\u671f\u76f8\u6bd4\u4e0a\u5347\u7684\u4e3b\u8981\u539f\u56e0\u4e4b\u4e00\uff0c\u8fd9\u8868\u660e\u6295\u8d44\u6536\u76ca\u589e\u957f\u5bf9\u5e74\u5ea6\u4e1a\u7ee9\u9884\u544a\u6709\u76f4\u63a5\u5f71\u54cd\u3002""}","83346840"
c068065fabed7d6462c5f406585ded5f,因果关系,"1_347099_ec069c_9ca4b6","1_347099_117b88_b29411",影响,影响,"{""source"": ""LLM\u62bd\u53d6"", ""extraction_method"": ""general"", ""context"": ""\u516c\u53f8\u6301\u7eed\u52a0\u5927\u7814\u53d1\u6295\u5165\u529b\u5ea6\uff0c\u5f53\u5e74\u7814\u53d1\u652f\u51fa\u8d39\u7528\u5316\u91d1\u989d\u7ea613\u4ebf\u5143\uff0c\u540c\u6bd4\u589e\u52a090%\u4ee5\u4e0a\uff0c\u8fd9\u4e5f\u662f2021\u5e74\u5e74\u5ea6\u4e1a\u7ee9\u4e0e\u4e0a\u5e74\u540c\u671f\u76f8\u6bd4\u4e0a\u5347\u7684\u539f\u56e0\u4e4b\u4e00\uff0c\u8fd9\u8868\u660e\u7814\u53d1\u652f\u51fa\u5bf9\u5e74\u5ea6\u4e1a\u7ee9\u9884\u544a\u6709\u5f71\u54cd\u3002""}","83346840"
