"id","type","value","key","project_id","properties"
"0_007959_0b63a2_ae68d4","0",五矿集团财务有限责任公司,关联方,"96050996","{""source"": ""LLM\u62bd\u53d6"", ""project_id"": ""96050996"", ""context"": ""\u957f\u8fdc\u9502\u79d1\u4e0e\u4e94\u77ff\u96c6\u56e2\u8d22\u52a1\u6709\u9650\u8d23\u4efb\u516c\u53f8\u7b7e\u7f72\u300a\u91d1\u878d\u670d\u52a1\u534f\u8bae\u4e4b\u8865\u5145\u534f\u8bae\uff08\u4e8c\uff09\u300b\u66a8\u5173\u8054\u4ea4\u6613\u7684\u4e8b\u9879""}"
"0_007959_3ca23d_9d3365","0",《金融服务协议之补充协议（二）》,协议,"96050996","{""source"": ""LLM\u62bd\u53d6"", ""project_id"": ""96050996"", ""context"": ""\u62df\u7b7e\u8ba2\u300a\u91d1\u878d\u670d\u52a1\u534f\u8bae\u4e4b\u8865\u5145\u534f\u8bae\uff08\u4e8c\uff09\u300b\uff0c\u5c31\u300a\u91d1\u878d\u670d\u52a1\u534f\u8bae\u4e4b\u8865\u5145\u534f\u8bae\u300b\u4e2d\u90e8\u5206\u6761\u6b3e\u8fdb\u884c\u8c03\u6574""}"
"0_007959_479279_c55f32","0",五矿证券有限公司,保荐机构,"96050996","{""source"": ""LLM\u62bd\u53d6"", ""project_id"": ""96050996"", ""context"": ""\u4e2d\u4fe1\u8bc1\u5238\u80a1\u4efd\u6709\u9650\u516c\u53f8\u3001\u4e94\u77ff\u8bc1\u5238\u6709\u9650\u516c\u53f8\u4f5c\u4e3a\u6e56\u5357\u957f\u8fdc\u9502\u79d1\u80a1\u4efd\u6709\u9650\u516c\u53f8\u9996\u6b21\u516c\u5f00\u53d1\u884c\u80a1\u7968\u5e76\u5728\u79d1\u521b\u677f\u4e0a\u5e02\u4ee5\u53ca\u5411\u4e0d\u7279\u5b9a\u5bf9\u8c61\u53d1\u884c\u53ef\u8f6c\u6362\u516c\u53f8\u503a\u5238\u7684\u4fdd\u8350\u673a\u6784""}"
"0_007959_505bdf_2bfdf3","0",第二届董事会第十三次会议,会议,"96050996","{""source"": ""LLM\u62bd\u53d6"", ""project_id"": ""96050996"", ""context"": ""\u516c\u53f8\u53ec\u5f00\u4e86\u7b2c\u4e8c\u5c4a\u8463\u4e8b\u4f1a\u7b2c\u5341\u4e09\u6b21\u4f1a\u8bae\uff0c\u5ba1\u8bae\u901a\u8fc7\u4e86\u300a\u5173\u4e8e\u4e0e\u4e94\u77ff\u96c6\u56e2\u8d22\u52a1\u6709\u9650\u8d23\u4efb\u516c\u53f8\u7b7e\u8ba2\u66a8\u5173\u8054\u4ea4\u6613\u7684\u8bae\u6848\u300b""}"
"0_007959_95a39f_e21671","0",中信证券股份有限公司,保荐机构,"96050996","{""source"": ""LLM\u62bd\u53d6"", ""project_id"": ""96050996"", ""context"": ""\u4e2d\u4fe1\u8bc1\u5238\u80a1\u4efd\u6709\u9650\u516c\u53f8\u3001\u4e94\u77ff\u8bc1\u5238\u6709\u9650\u516c\u53f8\u4f5c\u4e3a\u6e56\u5357\u957f\u8fdc\u9502\u79d1\u80a1\u4efd\u6709\u9650\u516c\u53f8\u9996\u6b21\u516c\u5f00\u53d1\u884c\u80a1\u7968\u5e76\u5728\u79d1\u521b\u677f\u4e0a\u5e02\u4ee5\u53ca\u5411\u4e0d\u7279\u5b9a\u5bf9\u8c61\u53d1\u884c\u53ef\u8f6c\u6362\u516c\u53f8\u503a\u5238\u7684\u4fdd\u8350\u673a\u6784""}"
"0_007959_f375c7_774b0a","0",湖南长远锂科股份有限公司,发行人,"96050996","{""source"": ""LLM\u62bd\u53d6"", ""project_id"": ""96050996"", ""context"": ""\u4e2d\u4fe1\u8bc1\u5238\u80a1\u4efd\u6709\u9650\u516c\u53f8\u3001\u4e94\u77ff\u8bc1\u5238\u6709\u9650\u516c\u53f8\u4f5c\u4e3a\u6e56\u5357\u957f\u8fdc\u9502\u79d1\u80a1\u4efd\u6709\u9650\u516c\u53f8\u9996\u6b21\u516c\u5f00\u53d1\u884c\u80a1\u7968\u5e76\u5728\u79d1\u521b\u677f\u4e0a\u5e02\u4ee5\u53ca\u5411\u4e0d\u7279\u5b9a\u5bf9\u8c61\u53d1\u884c\u53ef\u8f6c\u6362\u516c\u53f8\u503a\u5238\u7684\u4fdd\u8350\u673a\u6784""}"
"0_009458_414489_4134e9","0",独立董事,审查方,"97415317","{""source"": ""LLM\u62bd\u53d6"", ""project_id"": ""97415317"", ""context"": ""\u53d1\u8868\u72ec\u7acb\u610f\u89c1\u7684\u4e3b\u4f53""}"
"0_009458_cd50d8_774b0a","0",湖南长远锂科股份有限公司,公司,"97415317","{""source"": ""LLM\u62bd\u53d6"", ""project_id"": ""97415317"", ""context"": ""\u516c\u544a\u4e2d\u63d0\u5230\u7684\u516c\u53f8\u5168\u79f0""}"
"0_009458_dd3948_2bfdf3","0",第二届董事会第十三次会议,会议,"97415317","{""source"": ""LLM\u62bd\u53d6"", ""project_id"": ""97415317"", ""context"": ""\u88ab\u5ba1\u67e5\u7684\u4f1a\u8bae""}"
"0_030567_414489_4134e9","0",独立董事,审查方,"96050996","{""source"": ""LLM\u62bd\u53d6"", ""project_id"": ""96050996"", ""context"": ""\u53d1\u8868\u72ec\u7acb\u610f\u89c1\u7684\u4e3b\u4f53""}"
"0_030567_cd50d8_774b0a","0",湖南长远锂科股份有限公司,公司,"96050996","{""source"": ""LLM\u62bd\u53d6"", ""project_id"": ""96050996"", ""context"": ""\u516c\u544a\u4e2d\u63d0\u5230\u7684\u516c\u53f8\u5168\u79f0""}"
"0_030567_dd3948_2bfdf3","0",第二届董事会第十三次会议,会议,"96050996","{""source"": ""LLM\u62bd\u53d6"", ""project_id"": ""96050996"", ""context"": ""\u88ab\u5ba1\u67e5\u7684\u4f1a\u8bae""}"
"0_054885_414489_4134e9","0",独立董事,人员,"96050996","{""source"": ""LLM\u62bd\u53d6"", ""project_id"": ""96050996"", ""context"": ""\u516c\u544a\u4e2d\u63d0\u5230\u7684\u72ec\u7acb\u8463\u4e8b\u89d2\u8272""}"
"0_054885_cd50d8_774b0a","0",湖南长远锂科股份有限公司,公司,"96050996","{""source"": ""LLM\u62bd\u53d6"", ""project_id"": ""96050996"", ""context"": ""\u516c\u544a\u4e2d\u63d0\u5230\u7684\u516c\u53f8\u5168\u79f0""}"
